"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-004.wav_722",1,0.04,0.140022675737023,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",1.09647233980202
"200303-008.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",1.02020451352218
"200303-018.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.959321667090921
"200303-019.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",1.0269721807231
"200303-024.wav_722",1,0.04,0.140022675736966,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",1.1348985393734
"200303-025.wav_722",1,0.04,0.140022675736994,8.5,14.025,"0.1_BB_am_harm.wav_1","simulations",NA,"0.1_BB_am_harm.wav_1",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_1","200303-000.wav_722-1",0.998722635717107
"200303-004.wav_731",1,0.04,0.140022675736966,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",1.14963780364275
"200303-008.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",1.07535546074609
"200303-018.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",1.05590756199601
"200303-019.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",1.14161421974819
"200303-024.wav_731",1,0.04,0.140022675737023,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",1.16129898712134
"200303-025.wav_731",1,0.04,0.140022675736994,5.632,10.245,"0.1_BB_am_harm.wav_10","simulations",NA,"0.1_BB_am_harm.wav_10",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_10","200303-000.wav_731-1",1.10466524310352
"200303-004.wav_732",1,0.04,0.140022675737023,1.474,3.825,"0.1_BB_am_harm.wav_11","simulations",NA,"0.1_BB_am_harm.wav_11",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_11","200303-000.wav_732-1",1.09855772250201
"200303-008.wav_732",1,0.04,0.140022675736994,1.474,3.825,"0.1_BB_am_harm.wav_11","simulations",NA,"0.1_BB_am_harm.wav_11",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_11","200303-000.wav_732-1",1.02476025607706
