"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","cross.correlation"
"200303-004.wav_2",1,0.04,0.24002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1","simulations",NA,"0.2_BB_am_no.harm.wav_1",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_1","200303-000.wav_2-1",0.302556333618155
"200303-004.wav_3",1,0.04,0.240022675736957,3.208,4.069,"0.2_BB_am_no.harm.wav_2","simulations",NA,"0.2_BB_am_no.harm.wav_2",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_2","200303-000.wav_3-1",0.772525364247556
"200303-004.wav_4",1,0.04,0.24002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3","simulations",NA,"0.2_BB_am_no.harm.wav_3",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_3","200303-000.wav_4-1",0.260948140596297
"200303-004.wav_5",1,0.04,0.240022675736971,6.905,7.917,"0.2_BB_am_no.harm.wav_4","simulations",NA,"0.2_BB_am_no.harm.wav_4",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_4","200303-000.wav_5-1",0.59801904220927
"200303-004.wav_6",1,0.04,0.24002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5","simulations",NA,"0.2_BB_am_no.harm.wav_5",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_5","200303-000.wav_6-1",0.353740283770475
"200303-004.wav_7",1,0.04,0.24002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6","simulations",NA,"0.2_BB_am_no.harm.wav_6",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_6","200303-000.wav_7-1",0.85337794330113
"200303-004.wav_8",1,0.04,0.24002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7","simulations",NA,"0.2_BB_am_no.harm.wav_7",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_7","200303-000.wav_8-1",0.833892944302254
"200303-004.wav_9",1,0.04,0.240022675736957,9.181,10.033,"0.2_BB_am_no.harm.wav_8","simulations",NA,"0.2_BB_am_no.harm.wav_8",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_8","200303-000.wav_9-1",0.0678028134674513
"200303-004.wav_10",1,0.04,0.24002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9","simulations",NA,"0.2_BB_am_no.harm.wav_9",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_9","200303-000.wav_10-1",0.78247021402426
"200303-004.wav_11",1,0.04,0.24002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10","simulations",NA,"0.2_BB_am_no.harm.wav_10",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_10","200303-000.wav_11-1",0.659598408029767
"200303-004.wav_12",1,0.04,0.240022675736971,1.474,2.55,"0.2_BB_am_no.harm.wav_11","simulations",NA,"0.2_BB_am_no.harm.wav_11",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_11","200303-000.wav_12-1",0.784753057723959
"200303-004.wav_13",1,0.04,0.24002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12","simulations",NA,"0.2_BB_am_no.harm.wav_12",23.8,0.31,65,"abierta",1,"0.2_BB_am_no.harm.wav_12","200303-000.wav_13-1",0.567904566095249
