"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-001.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",1.95461503512192
"200303-009.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",28.1,0.19,30,"cerrado",1,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",2.16673119716883
"200303-011.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",29,0.2,30,"abierta",2,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",2.03734675231248
"200303-012.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",27.8,0.21,30,"cerrado",2,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",1.97641053342794
"200303-026.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",26,0.2,30,"abierta",3,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",1.87475523377641
"200303-027.wav_962",1,0.04,0.0864625850340212,3.2615,5.1707,"Haemorhous-mexicanus-13700.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_1",27.3,0.19,30,"cerrado",3,"Haemorhous-mexicanus-13700.wav_1","200303-000.wav_962-1",2.11259185703329
"200303-001.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",1.77610946180828
"200303-009.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",28.1,0.19,30,"cerrado",1,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",2.17950725647539
"200303-011.wav_971",1,0.04,0.182471655329018,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",29,0.2,30,"abierta",2,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",1.87570197864883
"200303-012.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",27.8,0.21,30,"cerrado",2,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",1.95788902455353
"200303-026.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",26,0.2,30,"abierta",3,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",1.91829341462711
"200303-027.wav_971",1,0.04,0.18247165532899,1.591,3.6593,"Haemorhous-mexicanus-13700.wav_10","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_10",27.3,0.19,30,"cerrado",3,"Haemorhous-mexicanus-13700.wav_10","200303-000.wav_971-1",1.96580163785892
"200303-001.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",1.73491682138901
"200303-009.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",28.1,0.19,30,"cerrado",1,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",2.1211451016131
"200303-011.wav_972",1,0.04,0.29702947845798,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",29,0.2,30,"abierta",2,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",1.87493752788362
"200303-012.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",27.8,0.21,30,"cerrado",2,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",1.9756496781281
"200303-026.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",26,0.2,30,"abierta",3,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",1.80746312029768
"200303-027.wav_972",1,0.04,0.297029478458008,1.7501,5.9662,"Haemorhous-mexicanus-13700.wav_11","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_11",27.3,0.19,30,"cerrado",3,"Haemorhous-mexicanus-13700.wav_11","200303-000.wav_972-1",2.00059654526401
"200303-001.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",2.00652897641692
"200303-009.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",28.1,0.19,30,"cerrado",1,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",2.19033296831411
"200303-011.wav_973",1,0.04,0.122086167800981,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",29,0.2,30,"abierta",2,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",1.84865215908066
"200303-012.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",27.8,0.21,30,"cerrado",2,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",1.94116808808109
"200303-026.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",26,0.2,30,"abierta",3,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",1.84727235758645
"200303-027.wav_973",1,0.04,0.122086167801009,2.2274,4.773,"Haemorhous-mexicanus-13700.wav_12","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_12",27.3,0.19,30,"cerrado",3,"Haemorhous-mexicanus-13700.wav_12","200303-000.wav_973-1",2.13247640104961
"200303-001.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",1.87229902416507
"200303-009.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",28.1,0.19,30,"cerrado",1,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",2.25010121150865
"200303-011.wav_974",1,0.04,0.094217687074015,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",29,0.2,30,"abierta",2,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",1.77815089664849
"200303-012.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",27.8,0.21,30,"cerrado",2,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",1.92248070924009
"200303-026.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",26,0.2,30,"abierta",3,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",1.95126534975295
"200303-027.wav_974",1,0.04,0.0942176870739866,1.4319,4.6934,"Haemorhous-mexicanus-13700.wav_13","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_13",27.3,0.19,30,"cerrado",3,"Haemorhous-mexicanus-13700.wav_13","200303-000.wav_974-1",1.97647301378044
"200303-001.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",24,0.31,30,"abierta",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",1.73843862002529
"200303-009.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",28.1,0.19,30,"cerrado",1,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",2.0867253760174
"200303-011.wav_975",1,0.04,0.171632653061956,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",29,0.2,30,"abierta",2,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",1.78973537847677
"200303-012.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",27.8,0.21,30,"cerrado",2,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",1.88686113203086
"200303-026.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",26,0.2,30,"abierta",3,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",1.80427706511385
"200303-027.wav_975",1,0.04,0.171632653061985,1.591,5.5685,"Haemorhous-mexicanus-13700.wav_14","Paulina","bosque_cerrado","Haemorhous-mexicanus-13700.wav_14",27.3,0.19,30,"cerrado",3,"Haemorhous-mexicanus-13700.wav_14","200303-000.wav_975-1",1.97881079895214
